x,Eeq (V)
0.34,4.290455
0.342985075,4.283742
0.345970149,4.276875
0.348955224,4.270008
0.351940299,4.263752
0.354925373,4.257496
0.357910448,4.250935
0.360895522,4.244678
0.363880597,4.23827
0.366865672,4.232166
0.369850746,4.226215
0.372835821,4.219501
0.375820896,4.21355
0.37880597,4.207446
0.381791045,4.201801
0.384776119,4.195087
0.387761194,4.189136
0.390746269,4.18349
0.393731343,4.176928
0.396716418,4.171283
0.399701493,4.165332
0.402686567,4.15938
0.405671642,4.153429
0.408656716,4.147478
0.411641791,4.14168
0.414626866,4.135882
0.41761194,4.130083
0.420597015,4.124437
0.42358209,4.118639
0.426567164,4.11284
0.429552239,4.107042
0.432537313,4.101549
0.435522388,4.095598
0.438507463,4.090105
0.441492537,4.084611
0.444477612,4.079271
0.447462687,4.073472
0.450447761,4.068132
0.453432836,4.062943
0.45641791,4.056992
0.459402985,4.051652
0.46238806,4.046616
0.465373134,4.041276
0.468358209,4.035935
0.471343284,4.030594
0.474328358,4.025711
0.477313433,4.020371
0.480298507,4.015183
0.483283582,4.009995
0.486268657,4.004807
0.489253731,3.999771
0.492238806,3.994736
0.495223881,3.990005
0.498208955,3.984665
0.50119403,3.979629
0.504179104,3.974899
0.507164179,3.969711
0.510149254,3.964523
0.513134328,3.959945
0.516119403,3.955062
0.519104478,3.950027
0.522089552,3.945602
0.525074627,3.940719
0.528059701,3.935988
0.531044776,3.9308
0.534029851,3.926223
0.537014925,3.922103
0.54,3.917067
0.542985075,3.912947
0.545970149,3.908064
0.548955224,3.903944
0.551940299,3.899672
0.554925373,3.895247
0.557910448,3.890822
0.560895522,3.886549
0.563880597,3.882277
0.566865672,3.878614
0.569850746,3.8748
0.572835821,3.870375
0.575820896,3.866712
0.57880597,3.86305
0.581791045,3.85893
0.584776119,3.855573
0.587761194,3.851759
0.590746269,3.848402
0.593731343,3.844892
0.596716418,3.84184
0.599701493,3.838483
0.602686567,3.835126
0.605671642,3.832074
0.608656716,3.829023
0.611641791,3.825971
0.614626866,3.822919
0.61761194,3.820325
0.620597015,3.817731
0.62358209,3.814374
0.626567164,3.812238
0.629552239,3.809796
0.632537313,3.807202
0.635522388,3.804761
0.638507463,3.802625
0.641492537,3.799878
0.644477612,3.797742
0.647462687,3.795605
0.650447761,3.793469
0.653432836,3.791485
0.65641791,3.789349
0.659402985,3.787366
0.66238806,3.785382
0.665373134,3.783551
0.668358209,3.781872
0.671343284,3.779889
0.674328358,3.778363
0.677313433,3.776379
0.680298507,3.774853
0.683283582,3.773175
0.686268657,3.771496
0.689253731,3.769818
0.692238806,3.768292
0.695223881,3.767071
0.698208955,3.765393
0.70119403,3.764172
0.704179104,3.762799
0.707164179,3.761425
0.710149254,3.759747
0.713134328,3.758373
0.716119403,3.757
0.719104478,3.755627
0.722089552,3.754559
0.725074627,3.753033
0.728059701,3.751507
0.731044776,3.750591
0.734029851,3.749218
0.737014925,3.747539
0.74,3.746777
0.742985075,3.745556
0.745970149,3.744335
0.748955224,3.742504
0.751940299,3.741588
0.754925373,3.74052
0.757910448,3.7393
0.760895522,3.737926
0.763880597,3.736858
0.766865672,3.735485
0.769850746,3.734569
0.772835821,3.733043
0.775820896,3.732128
0.77880597,3.730755
0.781791045,3.729686
0.784776119,3.728466
0.787761194,3.727398
0.790746269,3.725872
0.793731343,3.724651
0.796716418,3.723735
0.799701493,3.722515
0.802686567,3.721141
0.805671642,3.720073
0.808656716,3.718395
0.811641791,3.717174
0.814626866,3.716258
0.81761194,3.714885
0.820597015,3.713512
0.82358209,3.712291
0.826567164,3.710918
0.829552239,3.70985
0.832537313,3.708019
0.835522388,3.706645
0.838507463,3.705577
0.841492537,3.704356
0.844477612,3.702373
0.847462687,3.701457
0.850447761,3.700084
0.853432836,3.698558
0.85641791,3.697032
0.859402985,3.695811
0.86238806,3.694285
0.865373134,3.692607
0.868358209,3.691386
0.871343284,3.689708
0.874328358,3.688182
0.877313433,3.686503
0.880298507,3.684825
0.883283582,3.683299
0.886268657,3.681621
0.889253731,3.679484
0.892238806,3.677958
0.895223881,3.676585
0.898208955,3.674449
0.90119403,3.672618
0.904179104,3.670787
0.907164179,3.668956
0.910149254,3.666972
0.913134328,3.664988
0.916119403,3.662699
0.919104478,3.660716
0.922089552,3.658427
0.925074627,3.656138
0.928059701,3.653849
0.931044776,3.651408
0.934029851,3.648966
0.937014925,3.64622
0.94,3.643626
0.942985075,3.640574
0.945970149,3.637827
0.948955224,3.634318
0.951940299,3.631113
0.954925373,3.627146
0.957910448,3.623026
0.960895522,3.618601
0.963880597,3.614023
0.966865672,3.608682
0.969850746,3.602121
0.972835821,3.594949
0.975820896,3.586252
0.97880597,3.574197
0.981791045,3.558938
0.984776119,3.536965
0.987761194,3.500496
0.990746269,3.428321
0.993731343,3.307774
0.996716418,3.106966
