Temp (K),El conc (kmol/m^3),x_surf,i0,x_surf,i0
303.15,1.2,0,-2.653409356,0,-32.26761059
,,0.01,-2.041320872,0.01,-29.42645808
,,0.02,-1.492441342,0.02,-26.74819936
,,0.03,-1.002003978,0.03,-24.22637714
,,0.04,-0.565498398,0.04,-21.85469307
,,0.05,-0.178661731,0.05,-19.62700595
,,0.06,0.162530129,0.06,-17.53732997
,,0.07,0.461871123,0.07,-15.57983291
,,0.08,0.722933465,0.08,-13.74883438
,,0.09,0.949075936,0.09,-12.038804
,,0.1,1.143452024,0.1,-10.44435965
,,0.11,1.309017912,0.11,-8.960265667
,,0.12,1.448540309,0.12,-7.581431091
,,0.13,1.564604142,0.13,-6.30290785
,,0.14,1.659620081,0.14,-5.119888993
,,0.15,1.735831924,0.15,-4.027706907
,,0.16,1.795323821,0.16,-3.021831533
,,0.17,1.840027355,0.17,-2.097868583
,,0.18,1.871728462,0.18,-1.25155776
,,0.19,1.89207421,0.19,-0.478770972
,,0.2,1.902579411,0.2,0.224489448
,,0.21,1.904633099,0.21,0.862092525
,,0.22,1.899504841,0.22,1.437780427
,,0.23,1.888350906,0.23,1.955170241
,,0.24,1.872220276,0.24,2.417755763
,,0.25,1.852060507,0.25,2.828909276
,,0.26,1.828723442,0.26,3.191883335
,,0.27,1.802970766,0.27,3.509812545
,,0.28,1.775479412,0.28,3.785715351
,,0.29,1.746846817,0.29,4.022495813
,,0.3,1.717596022,0.3,4.222945393
,,0.31,1.688180624,0.31,4.389744734
,,0.32,1.658989571,0.32,4.525465448
,,0.33,1.630351816,0.33,4.632571894
,,0.34,1.602540803,0.34,4.713422959
,,0.35,1.575778816,0.35,4.770273847
,,0.36,1.550241165,0.36,4.805277854
,,0.37,1.526060231,0.37,4.820488157
,,0.38,1.503329349,0.38,4.817859592
,,0.39,1.482106544,0.39,4.799250439
,,0.4,1.462418116,0.4,4.766424202
,,0.41,1.444262068,0.41,4.721051394
,,0.42,1.427611391,0.42,4.664711318
,,0.43,1.41241719,0.43,4.598893852
,,0.44,1.398611655,0.44,4.525001226
,,0.45,1.386110894,0.45,4.444349812
,,0.46,1.374817598,0.46,4.358171899
,,0.47,1.364623566,0.47,4.26761748
,,0.48,1.35541207,0.48,4.173756035
,,0.49,1.347060073,0.49,4.07757831
,,0.5,1.339440297,0.5,3.979998103
,,0.51,1.33242313,0.51,3.881854042
,,0.52,1.325878392,0.52,3.783911375
,,0.53,1.319676943,0.53,3.686863743
,,0.54,1.313692136,0.54,3.591334971
,,0.55,1.307801131,0.55,3.497880846
,,0.56,1.301886042,0.56,3.406990899
,,0.57,1.295834939,0.57,3.319090191
,,0.58,1.2895427,0.58,3.234541091
,,0.59,1.282911712,0.59,3.153645062
,,0.6,1.275852408,0.6,3.076644443
,,0.61,1.26828367,0.61,3.003724229
,,0.62,1.260133069,0.62,2.935013858
,,0.63,1.251336952,0.63,2.870588987
,,0.64,1.241840385,0.64,2.810473283
,,0.65,1.231596939,0.65,2.754640196
,,0.66,1.220568322,0.66,2.70301475
,,0.67,1.208723865,0.67,2.655475319
,,0.68,1.196039853,0.68,2.611855414
,,0.69,1.182498704,0.69,2.571945463
,,0.7,1.168087993,0.7,2.535494594
,,0.71,1.152799335,0.71,2.502212419
,,0.72,1.136627102,0.72,2.471770814
,,0.73,1.119566997,0.73,2.443805702
,,0.74,1.101614474,0.74,2.417918837
,,0.75,1.082763008,0.75,2.393679587
,,0.76,1.063002207,0.76,2.370626712
,,0.77,1.042315783,0.77,2.348270154
,,0.78,1.020679355,0.78,2.32609281
,,0.79,0.998058119,0.79,2.303552324
,,0.8,0.974404351,0.8,2.280082862
,,0.81,0.949654766,0.81,2.2550969
,,0.82,0.923727724,0.82,2.227987002
,,0.83,0.896520279,0.83,2.198127606
,,0.84,0.867905087,0.84,2.164876804
,,0.85,0.837727147,0.85,2.127578127
,,0.86,0.805800407,0.86,2.085562325
,,0.87,0.771904203,0.87,2.03814915
,,0.88,0.735779558,0.88,1.98464914
,,0.89,0.69712532,0.89,1.9243654
,,0.9,0.655594154,0.9,1.856595385
,,0.91,0.61078838,0.91,1.780632684
,,0.92,0.562255658,0.92,1.695768798
,,0.93,0.509484526,0.93,1.601294927
,,0.94,0.451899778,0.94,1.496503752
,,0.95,0.388857698,0.95,1.380691215
,,0.96,0.319641138,0.96,1.253158303
,,0.97,0.243454445,0.97,1.113212832
,,0.98,0.159418233,0.98,0.960171225
,,0.99,0.066564015,0.99,0.793360299
,,1,-0.036171337,1,0.612119048
